run_id,task_id,experiment_id,rep,input_tokens,cached_input_tokens,uncached_input_tokens,output_tokens,total_tokens,uncached_total_tokens,quality_score,passed,duration_ms,used_non_message_items
"2026-04-07T01-58-31-incident-diagnosis-concise-focused-1","incident-diagnosis","concise-focused",1,3,34196,0,371,374,371,100,true,17770,0
"2026-04-07T01-58-31-incident-diagnosis-concise-focused-2","incident-diagnosis","concise-focused",2,3,34196,0,403,406,403,100,true,16425,0
"2026-04-07T01-58-31-incident-diagnosis-concise-focused-3","incident-diagnosis","concise-focused",3,3,34196,0,326,329,326,100,true,16097,0
"2026-04-07T01-58-31-incident-diagnosis-concise-focused-caveman-1","incident-diagnosis","concise-focused-caveman",1,3,34821,0,284,287,284,100,true,16089,0
"2026-04-07T01-58-31-incident-diagnosis-concise-focused-caveman-2","incident-diagnosis","concise-focused-caveman",2,3,34821,0,335,338,335,100,true,18682,0
"2026-04-07T01-58-31-incident-diagnosis-concise-focused-caveman-3","incident-diagnosis","concise-focused-caveman",3,3,34821,0,360,363,360,100,true,18509,0
"2026-04-07T01-58-31-incident-diagnosis-concise-focused-caveman-micro-1","incident-diagnosis","concise-focused-caveman-micro",1,3,34305,0,304,307,304,100,true,17638,0
"2026-04-07T01-58-31-incident-diagnosis-concise-focused-caveman-micro-2","incident-diagnosis","concise-focused-caveman-micro",2,3,34305,0,255,258,255,100,true,16023,0
"2026-04-07T01-58-31-incident-diagnosis-concise-focused-caveman-micro-3","incident-diagnosis","concise-focused-caveman-micro",3,3,34305,0,257,260,257,100,true,17249,0
"2026-04-07T01-58-31-config-audit-concise-focused-1","config-audit","concise-focused",1,3,32067,0,87,90,87,100,true,10714,0
"2026-04-07T01-58-31-config-audit-concise-focused-2","config-audit","concise-focused",2,3,32067,0,87,90,87,100,true,9973,0
"2026-04-07T01-58-31-config-audit-concise-focused-3","config-audit","concise-focused",3,3,32067,0,87,90,87,100,true,10475,0
"2026-04-07T01-58-31-config-audit-concise-focused-caveman-1","config-audit","concise-focused-caveman",1,3,32692,0,87,90,87,100,true,10545,0
"2026-04-07T01-58-31-config-audit-concise-focused-caveman-2","config-audit","concise-focused-caveman",2,3,32692,0,87,90,87,100,true,13078,0
"2026-04-07T01-58-31-config-audit-concise-focused-caveman-3","config-audit","concise-focused-caveman",3,3,32692,0,87,90,87,100,true,11215,0
"2026-04-07T01-58-31-config-audit-concise-focused-caveman-micro-1","config-audit","concise-focused-caveman-micro",1,3,32176,0,88,91,88,100,true,10888,0
"2026-04-07T01-58-31-config-audit-concise-focused-caveman-micro-2","config-audit","concise-focused-caveman-micro",2,3,32176,0,88,91,88,100,true,9874,0
"2026-04-07T01-58-31-config-audit-concise-focused-caveman-micro-3","config-audit","concise-focused-caveman-micro",3,3,30916,0,88,91,88,100,true,14098,0
